action,run_nr,file_name,bloom,simple,hbase,rondb,rondb_cluster
insert,0,insert_0,4.90066838264465,4.60377931594849,3.22667455673218,5.27121186256409,4.31384491920471
insert,1,insert_1,4.52426052093506,4.48487114906311,3.07477116584778,4.62640190124512,4.31855607032776
insert,2,insert_2,4.53255653381348,4.43705749511719,3.04314017295837,4.49668836593628,4.54056072235107
insert,3,insert_3,4.52490830421448,4.45168542861939,3.07631802558899,4.68846988677979,4.45213723182678
insert,4,insert_4,4.4205596446991,4.43397092819214,3.22230958938599,4.54940485954285,4.29230880737305
insert,5,insert_5,4.58797383308411,4.51123762130737,3.20300626754761,4.64312767982483,4.28727412223816
insert,6,insert_6,4.43660426139832,4.56885695457459,3.25949501991272,4.56879115104675,4.33117651939392
insert,7,insert_7,4.45244288444519,4.44258379936218,3.14647603034973,4.68493580818176,4.45628094673157
insert,8,insert_8,4.54097747802734,4.39041447639465,3.16949057579041,4.59046459197998,4.35453629493713
insert,9,insert_9,4.93446707725525,4.9129593372345,3.54034733772278,5.11319804191589,4.75884509086609
upsert,0,upsert_0,40.7805073261261,79.9549233913422,33.9843153953552,35.7861709594727,35.620157957077
upsert,1,upsert_1,46.8138928413391,81.8670783042908,38.8550572395325,40.5011029243469,39.6106703281403
upsert,2,upsert_2,45.8557004928589,85.047904253006,39.5511298179626,40.6168646812439,40.0943999290466
upsert,3,upsert_3,45.0784196853638,83.7287294864655,39.5448396205902,40.9249289035797,40.2310411930084
upsert,4,upsert_4,44.1816265583038,80.6331965923309,40.5604009628296,38.0717239379883,37.5864725112915
upsert,5,upsert_5,45.8199393749237,82.3015089035034,41.1528480052948,39.7894861698151,39.3468909263611
upsert,6,upsert_6,39.9429910182953,80.1839113235474,34.6513767242432,35.4937436580658,35.8143136501312
upsert,7,upsert_7,41.5473968982697,76.8512878417969,34.3504667282104,35.2506821155548,34.8938472270966
upsert,8,upsert_8,45.713559627533,83.0997252464294,38.8285698890686,40.5914084911346,40.4077291488647
upsert,9,upsert_9,43.2232904434204,80.0592012405395,36.7574751377106,36.8989961147308,37.8665857315063
delete,0,delete_0,46.1516864299774,84.4776780605316,40.1806256771088,41.0001466274261,40.943051815033
delete,1,delete_1,48.742271900177,84.693071603775,47.8126568794251,43.1982774734497,44.994695186615
delete,2,delete_2,43.0633051395416,82.0466079711914,43.000137090683,40.1409080028534,41.039853811264
delete,3,delete_3,41.8089802265167,80.289258480072,40.5900919437408,38.4637799263,39.617018699646
delete,4,delete_4,41.189521074295,80.114914894104,39.7095243930817,37.4113409519196,38.5076389312744
delete,5,delete_5,44.2717003822327,80.8453011512756,43.8219699859619,40.2897562980652,41.5264627933502
delete,6,delete_6,46.5188524723053,83.3043823242187,43.6651105880737,42.141503572464,42.5321419239044
delete,7,delete_7,46.6394281387329,84.3371787071228,44.9623770713806,41.1354277133942,41.8960609436035
delete,8,delete_8,46.8684024810791,83.7824881076813,45.5567955970764,42.0855371952057,43.2397062778473
delete,9,delete_9,42.364520072937,78.3433439731598,40.9983410835266,38.9379913806915,40.4900033473969
